"","name_country","Distributor Group","sumcountryis_air","sumcountryis_nat.soil_offfield","sumcountryis_water_offfield","sumcountryis_agr.soil","sumvaluedistributor","sumcountryis"
"56","AUSTRIA","MITSUI-CHEMICAL-AGRO-SANKYO",4232191.36970996,787283.60135444,26505.4138283128,52776778.9155231,158.262,57822759.3004158
"57","AUSTRIA","NUFARM",17849566.3029824,732442.312907132,3181545.56987086,54347460.5950075,2384.722,76111014.7807679
"58","AUSTRIA","SYNGENTA",134734164.615157,8489627.83473131,16271666.8852998,592986202.603314,13908.943,752481661.938501
"59","AUSTRIA","UNITED-PHOSPHOROUS/UPL",8708.27739223637,249.354709102729,629.899819392836,17569.2125565202,10.662,27156.7444772521
"60","AUSTRIA","VARIOUS",6616804.68148139,524926.742735816,477214.102881475,35208100.6748636,4158.725,42827046.2019623
"61","AZERBAIJAN","BAYER-CROPSCIENCE",314428.81701444,9720.24276277362,27653.7010202652,641130.193685562,622.79,992932.954483042
"62","AZERBAIJAN","VARIOUS",0,0,0,0,12494.21,0
"63","BANGLADESH","BAYER-CROPSCIENCE",69217599.6204874,3958767.83942315,10102409.6663586,701720514.560842,10926.647,784999291.687111
"64","BANGLADESH","SYNGENTA",3131727147.92617,88518887.7492085,1673486239.74131,7084769561.29852,76108.987,11978501836.7152
"65","BANGLADESH","VARIOUS",8824300433.42276,319589244.429909,6739423729.87821,28200468329.7552,180075.827,44083781737.4861
"66","BELARUS","ADAMA",47816185.3348177,3203355.32895286,20533434.3900523,216435130.51977,3603.094,287988105.573593
"67","BELARUS","ADEKA",0,0,0,0,9.686,0
"68","BELARUS","AVGUST",211742519.66428,6141935.85472557,77496829.8684548,2647471918.07588,19420.262,2942853203.46334
"69","BELARUS","BASF",23941671.0329764,2213879.61499573,4057946.51124233,368365519.506857,6614.846,398579016.666072
"70","BELARUS","BAYER-CROPSCIENCE",15904230.2554534,940293.190213608,958588.435528425,65835936.2962219,13199.729,83639048.1774173
"71","BELARUS","CORTEVA-(DOW/DUPONT)",92754058.4560321,2316085.29445331,50705448.4742846,186713566.97509,2350.646,332489159.199859
"72","BELARUS","FMC",3204398.37198546,207433.404537601,300625.745586849,17136002.1825951,650.666,20848459.7047051
"73","BELARUS","ISAGRO",1501.39579621565,219.542069402617,10.9777141391978,14540.0593597059,3.51,16271.9749394634
"74","BELARUS","NUFARM",5783312.97857126,1023710.89287976,54703.480841857,68021143.881696,197.858,74882871.2339888
"75","BELARUS","SYNGENTA",89783127.3020103,9540471.38539855,8500652.04310409,695107991.32602,6483.322,802932242.056533
"76","BELARUS","UNITED-PHOSPHOROUS/UPL",13336493.5464616,834976.126617055,1036482.08982916,175557648.61775,1129.656,190765600.380658
"77","BELARUS","VARIOUS",1174018458.76679,197247613.528937,36679965.5781208,13909332404.9082,32499.982,15317278442.7821
"78","BELGIUM","ADAMA",44202702.3866974,1283830.79109405,4548270.67134687,46813452.6566337,6135.88,96848256.5057721
"79","BELGIUM","BASF",70320028.813303,9303095.69955723,9034129.19441051,588079934.798196,23578.134,676737188.505467
"80","BELGIUM","BAYER-CROPSCIENCE",211527074.760556,13115844.688677,22381791.4914782,769909547.371122,42568.577,1016934258.31183
"81","BELGIUM","BELCHIM",85999819.7295245,3505320.77638061,5352966.3067486,892816556.692698,20135.778,987674663.505351
"82","BELGIUM","CORTEVA-(DOW/DUPONT)",28176814.7601677,3007821.98703847,42956355.046352,196900778.361492,10294.114,271041770.15505
"83","BELGIUM","MITSUI-CHEMICAL-AGRO-SANKYO",112974676.668116,2585332.09424319,30916758.1926083,259511810.265234,3559.576,405988577.220202
"84","BELGIUM","NUFARM",1063915.38612324,28312.2939864194,77998.7839658173,2363317.28064276,1046.514,3533543.74471823
"85","BELGIUM","SYNGENTA",1387924107.96202,16840341.9038929,146617300.378138,775139560.094082,21577.816,2326521310.33813
"86","BELGIUM","VARIOUS",2256481817.08085,387237086.80777,36789233.8462106,11416136108.2998,18506.096,14096644246.0346
"87","BOLIVIA","ADAMA",4457658.73229138,338234.665926906,553959.816784289,23444204.8569462,864.843,28794058.0719488
"88","BOLIVIA","AGRIUM",3927207.37166681,19625.6084643308,2311355.38967924,1318455.89105489,116.304,7576644.26086527
"89","BOLIVIA","ALBAUGH",1028.54199493353,1.20342986691937,114.347343198538,80.7329092148053,16.863,1224.8256772138
