"","Active Ingredient","Country","group","IS_Air_emission","IS_Agr_soil_emission_field","IS_Freshwater_emission_offField","IS_Nat_soil_emission_offField","IS_Agr_soil_emission_offField","UnitIS_Air_emission","UnitIS_Agr_soil_emission_field","UnitIS_Freshwater_emission_offField","UnitIS_Nat_soil_emission_offField","UnitIS_Agr_soil_emission_offField","AnnualIS_Air_emission","AnnualIS_Agr_soil_emission_field","AnnualIS_Freshwater_emission_offField","AnnualIS_Nat_soil_emission_offField","AnnualIS_Agr_soil_emission_offField","sumIS","sumIS_drift","IS_Air_emission_drift","IS_Agr_soil_emission_field_drift","IS_Agr_soil_emission_offField_drift","IS_Freshwater_emission_offField_drift","IS_Nat_soil_emission_offField_drift","sumUnitIS","sumUnitIS_drift","UnitIS_Air_emission_drift","UnitIS_Agr_soil_emission_field_drift","UnitIS_Agr_soil_emission_offField_drift","UnitIS_Freshwater_emission_offField_drift","UnitIS_Nat_soil_emission_offField_drift","sumAnnualIS","sumAnnualIS_drift","AnnualIS_Air_emission_drift","AnnualIS_Agr_soil_emission_field_drift","AnnualIS_Agr_soil_emission_offField_drift","AnnualIS_Freshwater_emission_offField_drift","AnnualIS_Nat_soil_emission_offField_drift"
"19","COPPER-OXYCHLORIDE","SPAIN","75% drift - refined",1257.587299,14738.065178848,28.2260302255701,555.679187326525,611.96846018616,4024.70648135798,47166.8141807354,90.3328833570371,1778.36212926702,1958.50692039941,1426618350.64276,16718993785.8251,32019862.7304962,630367471.380033,694222529.132086,17191.5261555863,-39.9777843137417,0,3547.643248848,-1835.90538081384,-84.6780906744299,-1667.03756167348,55018.7225951169,-127.942482239567,6.45213731331751e-07,NA,-5875.52076010111,-270.998650033964,-5335.08638622077,19502221999.7105,-45351155.7624817,0.472759485244751,4024478432.42514,-2082667587.24791,-96059588.1925038,-1891102413.21997
"20","COPPER-OXYCHLORIDE","SPAIN","90% drift - refined",1257.587299,14738.065178848,11.290412090228,222.27167493061,244.787384074464,4024.70648135798,47166.8141807354,36.1331533428148,711.344851706808,783.402768159764,1426618350.64276,16718993785.8251,12807945.0921985,252146988.552013,277689011.652834,16474.0019489433,-757.501990956698,0,3547.643248848,-2203.08645692554,-101.613708809772,-2000.44507406939,52722.4014353028,-2424.26364205364,6.45213731331751e-07,11353.6633134711,-7050.62491234076,-325.198380048187,-6402.10366378098,18688256081.7649,-859317073.708054,0.472759485244751,4024478432.42514,-2499201104.72717,-115271505.830802,-2269322896.04799
"21","DIMETHOATE","SPAIN","original method",134.9954532,1109.179155,4.208342011,16.57372545,1.874266612,13.8621582998231,113.897295568983,0.432138281323465,1.70189143684445,0.192461152295643,59974159.98,492772804.8,1869631.688,7363175.857,832676.6794,1266.830942273,1266.830942273,134.9954532,1109.179155,1.874266612,4.208342011,16.57372545,130.08594473927,130.08594473927,13.8621582998231,113.897295568983,0.192461152295643,0.432138281323465,1.70189143684445,562812449.0044,562812449.0044,59974159.98,492772804.8,832676.6794,1869631.688,7363175.857
"22","DIMETHOATE","SPAIN","refined method - original",134.9954532,792.8037156,60.32723027,157.4708644,173.4236196,13.8621582998231,81.4099315809274,6.19476875874198,16.1700709142564,17.8081973261636,59974159.98,352217321.1,26801457.94,69959266.01,77046564.64,1319.02088307,52.189940797,0,-316.3754394,171.549352988,56.118888259,140.89713895,135.445126879913,5.35918214064287,0,-32.4873639880556,17.615736173868,5.76263047741851,14.468179477412,585998769.67,23186320.6656002,0,-140555483.7,76213887.9606,24931826.252,62596090.153
"23","DIMETHOATE","SPAIN","50% drift - refined",134.9954532,960.3627684284,30.1636151316612,78.7354322101923,86.711809809303,13.8621582991076,98.6159193139679,3.09738437789433,8.08503545248547,8.90409866025526,59974159.9810738,426658446.253446,13400728.9625795,34979632.9848024,38523282.3067524,1290.96907877956,-28.0518042904432,2.8421709430404e-14,167.5590528284,-86.711809790697,-30.1636151383388,-78.7354321898078,132.564596103711,-2.88053077620205,-7.155200876241e-10,17.2059877330404,-8.90409866590835,-3.09738438084764,-8.08503546177094,573536250.488655,-12462519.1813455,0.00107385218143463,74441125.1534464,-38523282.3332476,-13400728.9774205,-34979633.0251976
"24","DIMETHOATE","SPAIN","75% drift - refined",134.9954532,1044.1422948142,15.0818075658306,39.3677161050961,43.3559049046515,13.8621582991076,107.218913188611,1.54869218894717,4.04251772624273,4.45204933012763,59974159.9810738,463879008.868666,6700364.48128976,17489816.4924012,19261641.1533762,1276.94317658978,-42.0777064802217,2.8421709430404e-14,251.3385792142,-130.067714695348,-45.2454227041694,-118.103148294904,131.124330733036,-4.3207961468768,-7.155200876241e-10,NA,-13.356147996036,-4.64607656979481,-12.1275531880137,567304990.976807,-18693778.693193,0.00107385218143463,111661687.768666,-57784923.4866238,-20101093.4587102,-52469449.5175988
"25","DIMETHOATE","SPAIN","90% drift - refined",134.9954532,1044.1422948142,6.03272302633224,15.7470864420384,17.3423619618606,13.8621582991076,107.218913188611,0.619476875578867,1.61700709049709,1.78081973205105,59974159.9810738,463879008.868666,2680145.7925159,6995926.59696047,7704656.46135048,1218.25991944443,-100.760963625569,2.8421709430404e-14,251.3385792142,-156.081257638139,-54.2945072436678,-141.723777957962,125.098375185845,-10.3467516940673,-7.155200876241e-10,25.8089816076832,-16.0273775941126,-5.57529188316311,-14.5530638237593,541233897.700567,-44764871.9694333,0.00107385218143463,111661687.768666,-69341908.1786495,-24121312.1474841,-62963339.4130395
"26","DIURON","SPAIN","original method",551.3293076,4109.252357,14.09652413,61.40255663,6.943724519,721.5445127176,5377.926492224,18.44862860984,80.35973634832,9.0875022524,35320360.76,263255143,903079.722,3933693.388,444842.7676,4743.024469879,4743.024469879,551.3293076,4109.252357,6.943724519,14.09652413,61.40255663,6207.36687215216,6207.36687215216,721.5445127176,5377.926492224,9.0875022524,18.44862860984,80.35973634832,303857119.6376,303857119.6376,35320360.76,263255143,444842.7676,903079.722,3933693.388
"27","DIURON","SPAIN","refined method - original",551.3293076,2937.154491,202.0758425,583.4001355,642.4944198,721.5445127176,3843.959820272,264.4639297872,763.5167598344,840.8555769328,35320360.76,188165865.3,12945786.77,37374946.28,41160762.51,4916.4541964,173.429726521,0,-1172.097866,635.550695281,187.97931837,521.99757887,6434.340599544,226.973727391838,0,-1533.966671952,831.7680746804,246.01530117736,683.15702348608,314967721.62,11110601.9824,0,-75089277.7,40715919.7424,12042707.048,33441252.892
"28","DIURON","SPAIN","50% drift - refined",551.3293076,3557.9220469361,101.037921231618,291.70006773797,321.247209900818,721.544512711194,4656.38066801896,132.231964880983,381.75837985112,420.427788496757,35320360.7620864,227934718.014914,6472893.38578238,18687473.1395653,20580381.255086,4823.23655340651,-93.2176429934934,0,620.7675559361,-321.247209899182,-101.037921268382,-291.70006776203,6312.34331395902,-121.997285584984,-6.40636699245078e-09,812.420847746963,-420.427788436043,-132.231964906217,-381.75837998328,308995826.557434,-5971895.06256568,0.00208640098571777,39768852.7149143,-20580381.254914,-6472893.38421762,-18687473.1404347
"29","DIURON","SPAIN","75% drift - refined",551.3293076,3868.30582461805,50.518960615809,145.850033868985,160.623604950409,721.544512711194,5062.59109168733,66.1159824404914,190.87918992556,210.213894248379,35320360.7620864,247819144.348331,3236446.69289119,9343736.56978266,10290190.627543,4776.62773165325,-139.826464746748,0,931.15133361805,-481.870814849591,-151.556881884191,-437.550101631015,6251.34467101295,-182.995928531048,-6.40636699245078e-09,NA,-630.641682684421,-198.347947346709,-572.63756990884,306009879.000634,-8957842.61936599,0.00208640098571777,59653279.0483307,-30870571.882457,-9709340.07710881,-28031209.7102173
